[06:29:00 INFO] [be394267] GET /@fs/home/runner/workspace/node_modules/.vite/deps/@tanstack_react-query.js?v=dbe7aaf2
[06:29:00 INFO] [e43dacba] GET /src/lib/queryClient.ts?v=4rwqtbATnUZigjrQ_gS4o
[06:29:01 INFO] [40cdab73] GET /src/components/ui/toaster.tsx
[06:29:01 INFO] [8c1f5409] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs
[06:29:01 INFO] [79c397ce] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-QCHXOAYK.js?v=dbe7aaf2
[06:29:01 INFO] [59d07ef7] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-WOOG5QLI.js?v=dbe7aaf2
[06:29:01 INFO] [291e2c0e] GET /@fs/home/runner/workspace/node_modules/.vite/deps/chunk-RPCDYKBN.js?v=dbe7aaf2
[06:29:01 INFO] [9db0caee] GET /@fs/home/runner/workspace/node_modules/.vite/deps/wouter.js?v=dbe7aaf2
[06:29:02 INFO] [25304137] GET /src/hooks/use-auth.tsx
[06:29:02 INFO] [95370c71] GET /src/hooks/use-tenant.tsx
[06:29:02 INFO] [4fdf1590] GET /src/hooks/use-company.tsx
[06:29:02 INFO] [5e6b23c1] GET /src/components/layout.tsx
[06:29:02 INFO] [5b71e8a7] GET /src/pages/dashboard.tsx
[06:29:02 INFO] [51e1064d] GET /src/pages/chart-of-accounts.tsx
[06:29:03 INFO] [2e6c4dbc] GET /src/pages/gas-accounts.tsx
[06:29:03 INFO] [a1f62635] GET /src/pages/auth-page.tsx
[06:29:03 INFO] [9b22875c] GET /src/pages/companies.tsx
[06:29:03 INFO] [ada2ece9] GET /src/pages/simple-company-create.tsx
[06:29:03 INFO] [57a98880] GET /src/pages/direct-company-form.tsx
[06:29:03 INFO] [a5204227] GET /src/pages/complete-company-form.tsx
[06:29:03 INFO] [cd9bd8de] GET /src/pages/basic-company-form.tsx
[06:29:03 INFO] [ec0081bd] GET /src/pages/emergency-company.tsx
[06:29:04 INFO] [930ba5d1] GET /src/pages/distributor-company-form.tsx
[06:29:04 INFO] [f4a614e9] GET /src/pages/users.tsx
[06:29:04 INFO] [d43f6040] GET /src/pages/intercompany-transactions.tsx
[06:29:04 INFO] [f542717b] GET /src/pages/intercompany-order-form.tsx
[06:29:04 INFO] [97dc7a59] GET /src/pages/existing-order-transaction-form.tsx
[06:29:04 INFO] [23da627f] GET /src/pages/intercompany-invoice-form.tsx
[06:29:05 INFO] [a20f2f7d] GET /src/pages/intercompany-invoice-debug/index.tsx
[06:29:05 INFO] [4e73d435] GET /src/pages/invoice-item-debug.tsx
[06:29:05 INFO] [501de6bb] GET /src/pages/intercompany-payment-form.tsx
[06:29:05 INFO] [c40cf838] GET /src/pages/intercompany-receipt-form.tsx
[06:29:05 INFO] [28be1845] GET /src/pages/intercompany-receipt-eligible-transactions.tsx
[06:29:05 INFO] [eb47f1d5] GET /src/pages/intercompany-delivery-note-form.tsx
[06:29:06 INFO] [ecd11a18] GET /src/pages/intercompany-goods-receipt-form.tsx
[06:29:06 INFO] [152123ec] GET /src/pages/test-intercompany-workflow.tsx
[06:29:06 INFO] [2a2fd2f1] GET /src/pages/test-complete-workflow.tsx
[06:29:06 INFO] [1e0c4c58] GET /src/pages/quick-product-create.tsx
[06:29:06 INFO] [d4dccf8b] GET /src/pages/products-dashboard.tsx
[06:29:06 INFO] [84cccce7] GET /src/pages/company-products.tsx
[06:29:06 INFO] [25ef75e1] GET /src/pages/banking.tsx
[06:29:07 INFO] [79bec2ae] GET /src/pages/sales-orders.tsx
[06:29:07 INFO] [fe6cbeb2] GET /src/pages/purchase-orders.tsx
[06:29:07 INFO] [ea289a7a] GET /src/pages/invoices.tsx
